rid,time,lon,lat,depth,mag,FI,APF,skew,band_skew,kurt,band_kurt,evt_type
60649893,2006-11-20T05:08:00.870000Z,-165.99216666666666,54.17466666666667,6030.0,1.3,0.012036769054235787,6.1752988047808755,1.471776244906133,0.4452023518599407,4.367408416093063,2.1606945386460494,VT
60651863,2006-11-24T12:38:07.950000Z,-165.99116666666666,54.137,2660.0,0.8,0.16281312770587705,7.768924302788844,0.45163225227863774,0.11737225010566697,2.1892963395977265,2.5630998411425376,VT
60633828,2006-12-14T08:39:25.520000Z,-165.9295,54.14533333333333,1510.0,-0.1,-0.0004784745976992037,5.617529880478087,0.12578928964420533,0.46224552744937036,2.4282116990300917,2.9787874259309377,Uncertain
60633868,2006-12-14T08:39:47.500000Z,-165.94883333333334,54.1445,2840.0,0.1,-0.039157584275456105,4.2629482071713145,0.5500492621979778,0.5987638022660033,3.3805741778356224,2.627337446895528,Uncertain
60633933,2006-12-14T08:41:06.140000Z,-165.9465,54.14183333333333,3190.0,1.2,-0.011348916277114644,3.904382470119522,0.7850200226277827,0.7519922198291698,3.29589313069554,3.8854235905338297,Uncertain
60633958,2006-12-14T08:41:15.450000Z,-165.951,54.14366666666667,3280.0,1.9,-0.13806159052253297,4.302788844621514,1.1926191779916648,0.7847438349053307,3.8178368880448574,3.4344576820657857,Uncertain
60633978,2006-12-14T08:41:30.000000Z,-165.95316666666668,54.15083333333333,3240.0,0.5,-0.16405298338058055,2.9880478087649402,1.138627677664158,1.1478136196284179,4.193950080899452,4.400907515626605,Uncertain
60634003,2006-12-14T08:41:38.150000Z,-165.955,54.15116666666667,2370.0,0.4,0.16924604957207748,8.286852589641436,0.46314623179474823,0.13482268753367693,2.6576824850303065,2.7833889779652856,VT
60634018,2006-12-14T08:41:42.440000Z,-165.9435,54.143,2970.0,0.8,0.05035354537646544,6.254980079681276,0.6538296632268046,0.43568375488456307,2.530745848242637,2.6896489777529355,VT
60634038,2006-12-14T08:42:00.740000Z,-165.96133333333333,54.1485,2710.0,0.3,-0.012847740687703144,5.258964143426295,0.2866504398650615,0.45657960074088316,2.832501762358914,3.089574188659526,Uncertain
60634063,2006-12-14T08:42:08.620000Z,-165.95416666666668,54.148833333333336,3220.0,0.9,-0.01194748124257662,5.537848605577689,0.570165078760906,0.45572719607588713,2.603577056339353,2.541022429580026,Uncertain
60634083,2006-12-14T08:42:42.600000Z,-165.93033333333332,54.13333333333333,1950.0,0.3,0.103069464967051,6.055776892430278,0.8364521602793481,0.7894127719397568,3.41440184950741,2.8537388980378515,VT
60634108,2006-12-14T08:44:17.870000Z,-165.96016666666668,54.1485,2830.0,0.7,0.143605012192047,6.494023904382471,0.7503623377736012,0.2462218949465468,2.5206974290495037,1.849679622294114,VT
60634143,2006-12-14T08:44:33.540000Z,-165.9635,54.145833333333336,2010.0,0.3,-0.00016094547498280793,3.9442231075697207,0.8210389509348613,0.3925224667914145,2.9309783583572444,2.1291378920224924,Uncertain
60615558,2007-01-11T00:00:55.260000Z,-166.009,54.099333333333334,21740.0,1.6,-0.7557206663764373,3.426294820717131,2.497862197564473,0.6173266230191629,10.060490571507186,2.3301569677538434,DLP
60616108,2007-01-12T11:11:32.730000Z,-165.96633333333332,54.147166666666664,3120.0,0.2,0.04503037921604947,5.856573705179283,0.6598032344270205,0.26239331798711835,2.656286502472839,2.623596892412155,VT
